Size	   Bubble Sort	Selection Sort	Insertion Sort
50	128555.04	33712.586	33690.004
100	45632.35	18611.295	70764.875
150	91112.74	34521.44	181874.55
200	146070.27	63112.613	34946.29
250	223842.8	90889.1	51084.16
300	310277.7	128327.16	66557.0
350	412560.97	171849.36	88198.0
400	517379.12	236441.95	112987.78
450	694216.56	294246.47	177319.66
500	784050.25	335824.62	172625.31
550	940549.8	398457.2	202290.06
600	1104063.6	469499.12	240908.5
650	1292937.6	545958.06	278553.97
700	1487830.1	647291.06	322878.88
750	1708323.5	723630.9	369968.53
800	1931557.8	819007.2	416378.8
850	2166391.0	921251.2	466145.0
900	2423589.8	1029542.9	524770.7
950	2847229.8	1218851.6	618164.0
1000	3035636.5	1286671.0	665508.06
